onset,duration,trial_type,file_path
0.000,0.500,exp,images/humvee.jpg
1.545,0.500,exp,images/earwig.jpg
2.937,0.500,exp,images/bird.jpg
4.338,0.500,exp,images/loincloth.jpg
5.743,0.500,exp,images/teacup.jpg
7.416,0.500,exp,images/can.jpg
9.049,0.500,exp,images/touchpad.jpg
10.484,0.500,exp,images/lightbulb.jpg
11.870,0.500,exp,images/braid.jpg
13.435,0.500,exp,images/muffin.jpg
14.915,0.500,exp,images/cooler.jpg
16.391,0.500,exp,images/caramel.jpg
17.961,0.500,exp,images/scone.jpg
19.460,0.500,exp,images/icicle.jpg
20.980,0.500,exp,images/rattle.jpg
22.416,0.500,exp,images/espresso.jpg
23.794,0.500,exp,images/melon.jpg
25.427,0.500,exp,images/battery.jpg
26.875,0.500,exp,images/bubble.jpg
28.298,0.500,exp,images/turnstile.jpg
29.872,0.500,exp,images/toaster_oven.jpg
31.493,0.500,exp,images/odometer.jpg
32.846,0.500,exp,images/pool_table.jpg
34.542,0.500,exp,images/scissors.jpg
36.074,0.500,exp,images/leek.jpg
37.497,0.500,exp,images/chute.jpg
39.077,0.500,exp,images/shovel.jpg
40.607,0.500,exp,images/matchbox.jpg
41.983,0.500,exp,images/tractor.jpg
43.425,0.500,exp,images/suspenders.jpg
44.830,0.500,exp,images/thimble.jpg
46.346,0.500,exp,images/skull.jpg
47.964,0.500,exp,images/telegraph.jpg
49.446,0.500,exp,images/rooster.jpg
51.016,0.500,exp,images/bell_pepper.jpg
52.607,0.500,exp,images/pants.jpg
54.030,0.500,exp,images/appetizer.jpg
55.550,0.500,exp,images/umbrella.jpg
56.912,0.500,exp,images/aircraft_carrier.jpg
58.448,0.500,exp,images/puppy.jpg
59.863,0.500,exp,images/pelican.jpg
61.275,0.500,exp,images/nose.jpg
62.736,0.500,exp,images/microscope.jpg
64.284,0.500,exp,images/clock.jpg
65.964,0.500,exp,images/organ.jpg
67.288,0.500,exp,images/metronome.jpg
68.655,0.500,exp,images/wagon.jpg
70.135,0.500,exp,images/file1.jpg
71.654,0.500,exp,images/statue.jpg
73.042,0.500,exp,images/seal.jpg
74.358,0.500,exp,images/teapot.jpg
75.928,0.500,exp,images/bassoon.jpg
77.578,0.500,exp,images/cookie.jpg
79.094,0.500,exp,images/balloon.jpg
80.450,0.500,exp,images/doghouse.jpg
81.765,0.500,exp,images/air_pump.jpg
83.129,0.500,exp,images/goat.jpg
84.788,0.500,exp,images/garlic.jpg
86.359,0.500,exp,images/thermostat.jpg
88.055,0.500,exp,images/pom-pom.jpg
89.512,0.500,exp,images/hat.jpg
90.980,0.500,exp,images/pug.jpg
92.662,0.500,exp,images/velcro.jpg
93.969,0.500,exp,images/gramophone.jpg
95.323,0.500,exp,images/hairpin.jpg
96.911,0.500,exp,images/beaker.jpg
98.494,0.500,exp,images/cracker.jpg
99.848,0.500,exp,images/oatmeal.jpg
101.470,0.500,exp,images/bagpipe.jpg
102.825,0.500,exp,images/xylophone.jpg
104.207,0.500,exp,images/bank.jpg
105.874,0.500,exp,images/stove2.jpg
107.262,0.500,exp,images/denture.jpg
108.917,0.500,exp,images/leotard.jpg
110.261,0.500,exp,images/shoe_polish.jpg
111.947,0.500,catch,images/bandage.jpg
113.276,0.500,exp,images/fudge.jpg
114.814,0.500,exp,images/canister.jpg
116.356,0.500,exp,images/camera1.jpg
118.003,0.500,exp,images/wheat.jpg
119.336,0.500,exp,images/drum.jpg
120.693,0.500,exp,images/rollerskate.jpg
122.321,0.500,exp,images/ribbon.jpg
123.697,0.500,exp,images/basket.jpg
125.186,0.500,exp,images/spring_roll.jpg
126.881,0.500,exp,images/firewood.jpg
128.387,0.500,exp,images/rake.jpg
129.928,0.500,exp,images/alpaca.jpg
131.410,0.500,exp,images/record.jpg
132.910,0.500,exp,images/cranberry.jpg
134.339,0.500,exp,images/rocking_chair.jpg
135.692,0.500,exp,images/helmet.jpg
137.289,0.500,exp,images/straightjacket.jpg
138.665,0.500,exp,images/keyhole.jpg
140.081,0.500,catch,images/snowman.jpg
141.405,0.500,exp,images/grinder.jpg
142.809,0.500,exp,images/skin.jpg
144.320,0.500,exp,images/telescope.jpg
145.915,0.500,exp,images/clothespin.jpg
147.581,0.500,catch,images/latte.jpg
149.040,0.500,exp,images/tupperware.jpg
150.709,0.500,exp,images/recorder.jpg
152.226,0.500,exp,images/sandbox.jpg
153.694,0.500,exp,images/shower_cap.jpg
155.071,0.500,exp,images/retainer.jpg
156.375,0.500,exp,images/snowsuit.jpg
157.970,0.500,exp,images/skirt.jpg
159.588,0.500,exp,images/mousetrap.jpg
160.941,0.500,exp,images/scanner.jpg
162.282,0.500,exp,images/cummerbund.jpg
163.635,0.500,exp,images/graffiti.jpg
164.962,0.500,exp,images/lime.jpg
166.612,0.500,exp,images/ice_cream.jpg
168.025,0.500,exp,images/steamroller.jpg
169.625,0.500,exp,images/mustard.jpg
170.986,0.500,exp,images/float.jpg
172.672,0.500,exp,images/peppermint.jpg
174.143,0.500,exp,images/pedal.jpg
175.477,0.500,exp,images/doormat.jpg
176.937,0.500,exp,images/llama.jpg
178.294,0.500,exp,images/horse.jpg
179.975,0.500,exp,images/sponge.jpg
181.450,0.500,exp,images/knot.jpg
182.937,0.500,exp,images/ticktacktoe.jpg
184.283,0.500,exp,images/palm_tree.jpg
185.919,0.500,exp,images/snack.jpg
187.337,0.500,exp,images/hairnet.jpg
188.855,0.500,exp,images/leech.jpg
190.443,0.500,exp,images/seafood.jpg
192.104,0.500,exp,images/amplifier.jpg
193.488,0.500,exp,images/showerhead.jpg
194.951,0.500,exp,images/knob.jpg
196.532,0.500,exp,images/bulletin_board.jpg
197.848,0.500,exp,images/mustache.jpg
199.399,0.500,exp,images/cordon_bleu.jpg
201.044,0.500,exp,images/sandpaper.jpg
202.370,0.500,exp,images/bear.jpg
203.768,0.500,exp,images/mattress.jpg
205.158,0.500,exp,images/burner.jpg
206.583,0.500,exp,images/sewing_kit.jpg
208.166,0.500,exp,images/chalk.jpg
209.720,0.500,exp,images/cabinet.jpg
211.078,0.500,exp,images/paperclip.jpg
212.631,0.500,exp,images/ratchet.jpg
214.234,0.500,exp,images/navel.jpg
215.832,0.500,exp,images/chicken_wire.jpg
217.190,0.500,exp,images/gem.jpg
218.565,0.500,exp,images/sand.jpg
